holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,unique_id,y,ds,date
0,0,0,1,0.02,0.0606,0.62,0.1343,1,18,1/23/11 2:00,1/23/11
0,0,0,1,0.02,0.0606,0.62,0.1343,1,5,1/23/11 3:00,1/23/11
0,0,0,2,0.04,0.0758,0.57,0.1045,1,3,1/23/11 5:00,1/23/11
0,0,0,2,0.04,0.0758,0.57,0.1045,1,1,1/23/11 6:00,1/23/11
0,0,0,1,0.08,0.1061,0.58,0.1642,1,2,1/23/11 7:00,1/23/11
0,0,0,1,0.06,0.0758,0.62,0.1642,1,19,1/23/11 8:00,1/23/11
0,0,0,1,0.1,0.0758,0.54,0.3582,1,28,1/23/11 9:00,1/23/11
0,0,0,1,0.14,0.1061,0.46,0.3881,1,58,1/23/11 10:00,1/23/11
0,0,0,1,0.14,0.1364,0.43,0.2239,1,99,1/23/11 11:00,1/23/11
0,0,0,1,0.16,0.1212,0.37,0.4627,1,116,1/23/11 12:00,1/23/11
0,0,0,1,0.14,0.1061,0.33,0.3881,1,87,1/23/11 13:00,1/23/11
0,0,0,1,0.16,0.1364,0.28,0.3582,1,110,1/23/11 14:00,1/23/11
0,0,0,1,0.16,0.1364,0.28,0.3582,1,77,1/23/11 15:00,1/23/11
0,0,0,1,0.16,0.1364,0.26,0.3284,1,65,1/23/11 16:00,1/23/11
0,0,0,1,0.14,0.1061,0.26,0.3881,1,55,1/23/11 17:00,1/23/11
0,0,0,1,0.12,0.1212,0.3,0.2537,1,49,1/23/11 18:00,1/23/11
0,0,0,1,0.12,0.1212,0.3,0.2836,1,50,1/23/11 19:00,1/23/11
0,0,0,1,0.1,0.1061,0.36,0.2537,1,35,1/23/11 20:00,1/23/11
0,0,0,1,0.1,0.1061,0.36,0.194,1,25,1/23/11 21:00,1/23/11
0,0,0,1,0.08,0.0909,0.38,0.194,1,28,1/23/11 22:00,1/23/11
0,0,0,1,0.06,0.0606,0.41,0.2239,1,21,1/23/11 23:00,1/23/11
0,1,1,1,0.06,0.0606,0.41,0.194,1,7,1/24/11 0:00,1/24/11
0,1,1,1,0.04,0.0455,0.45,0.194,1,1,1/24/11 1:00,1/24/11
0,1,1,1,0.04,0.0303,0.45,0.2537,1,1,1/24/11 3:00,1/24/11
0,1,1,1,0.02,0.0606,0.48,0.1343,1,1,1/24/11 4:00,1/24/11
0,1,1,1,0.02,0.0606,0.48,0.1343,1,5,1/24/11 5:00,1/24/11
0,1,1,1,0.02,0.0758,0.48,0.0896,1,15,1/24/11 6:00,1/24/11
0,1,1,1,0.02,0.1212,0.48,0,1,84,1/24/11 7:00,1/24/11
0,1,1,1,0.04,0.1364,0.49,0,1,177,1/24/11 8:00,1/24/11
0,1,1,1,0.06,0.1515,0.41,0,1,102,1/24/11 9:00,1/24/11
0,1,1,1,0.1,0.1364,0.42,0,1,40,1/24/11 10:00,1/24/11
0,1,1,1,0.1,0.1212,0.46,0.1343,1,46,1/24/11 11:00,1/24/11
0,1,1,2,0.12,0.1364,0.42,0.194,1,63,1/24/11 12:00,1/24/11
0,1,1,2,0.14,0.1364,0.43,0.2239,1,60,1/24/11 13:00,1/24/11
0,1,1,2,0.14,0.1364,0.46,0.2239,1,45,1/24/11 14:00,1/24/11
0,1,1,1,0.16,0.1667,0.4,0.1642,1,57,1/24/11 15:00,1/24/11
0,1,1,1,0.16,0.1515,0.47,0.2537,1,70,1/24/11 16:00,1/24/11
0,1,1,1,0.14,0.1212,0.5,0.2537,1,184,1/24/11 17:00,1/24/11
0,1,1,1,0.14,0.1364,0.59,0.194,1,153,1/24/11 18:00,1/24/11
0,1,1,1,0.14,0.1515,0.54,0.1642,1,106,1/24/11 19:00,1/24/11
0,1,1,1,0.14,0.1364,0.59,0.194,1,81,1/24/11 20:00,1/24/11
0,1,1,1,0.14,0.1515,0.63,0.1642,1,59,1/24/11 21:00,1/24/11
0,1,1,2,0.14,0.1364,0.63,0.2239,1,35,1/24/11 22:00,1/24/11
0,1,1,2,0.16,0.1515,0.64,0.2537,1,24,1/24/11 23:00,1/24/11
0,2,1,2,0.16,0.1364,0.69,0.2836,1,9,1/25/11 0:00,1/25/11
0,2,1,2,0.16,0.1667,0.69,0.1642,1,5,1/25/11 1:00,1/25/11
0,2,1,1,0.16,0.1515,0.69,0.2239,1,2,1/25/11 2:00,1/25/11
0,2,1,1,0.14,0.1667,0.74,0.1045,1,1,1/25/11 4:00,1/25/11
0,2,1,1,0.14,0.1364,0.74,0.2239,1,9,1/25/11 5:00,1/25/11
0,2,1,1,0.16,0.1818,0.74,0.1045,1,36,1/25/11 6:00,1/25/11
0,2,1,1,0.16,0.1515,0.74,0.2239,1,108,1/25/11 7:00,1/25/11
0,2,1,2,0.16,0.1818,0.74,0.1343,1,238,1/25/11 8:00,1/25/11
0,2,1,2,0.2,0.2273,0.64,0.0896,1,144,1/25/11 9:00,1/25/11
0,2,1,2,0.22,0.2424,0.6,0.1045,1,55,1/25/11 10:00,1/25/11
0,2,1,2,0.24,0.2424,0.6,0.1343,1,61,1/25/11 11:00,1/25/11
0,2,1,2,0.26,0.2879,0.56,0.0896,1,106,1/25/11 12:00,1/25/11
0,2,1,2,0.26,0.2727,0.56,0.1343,1,93,1/25/11 13:00,1/25/11
0,2,1,2,0.3,0.3333,0.45,0,1,68,1/25/11 14:00,1/25/11
0,2,1,2,0.32,0.3485,0.42,0,1,84,1/25/11 15:00,1/25/11
0,2,1,2,0.32,0.3485,0.42,0,1,116,1/25/11 16:00,1/25/11
0,2,1,1,0.3,0.3333,0.45,0,1,222,1/25/11 17:00,1/25/11
0,2,1,2,0.3,0.3182,0.49,0.0896,1,225,1/25/11 18:00,1/25/11
0,2,1,2,0.26,0.2576,0.65,0.1642,1,146,1/25/11 19:00,1/25/11
0,2,1,1,0.24,0.2273,0.65,0.194,1,119,1/25/11 20:00,1/25/11
0,2,1,1,0.24,0.2273,0.65,0.194,1,45,1/25/11 21:00,1/25/11
0,2,1,1,0.22,0.2273,0.64,0.1642,1,53,1/25/11 22:00,1/25/11
0,2,1,2,0.22,0.2273,0.64,0.1642,1,40,1/25/11 23:00,1/25/11
0,3,1,2,0.22,0.2273,0.69,0.1343,1,17,1/26/11 0:00,1/26/11
0,3,1,2,0.24,0.2424,0.65,0.1343,1,5,1/26/11 1:00,1/26/11
0,3,1,3,0.22,0.2273,0.69,0.194,1,10,1/26/11 2:00,1/26/11
0,3,1,3,0.2,0.1818,0.86,0.2836,1,1,1/26/11 5:00,1/26/11
0,3,1,3,0.2,0.1818,0.86,0.2836,1,8,1/26/11 6:00,1/26/11
0,3,1,3,0.22,0.2121,0.87,0.2985,1,30,1/26/11 7:00,1/26/11
0,3,1,3,0.22,0.2121,0.87,0.2985,1,72,1/26/11 8:00,1/26/11
0,3,1,3,0.22,0.2121,0.87,0.2985,1,58,1/26/11 9:00,1/26/11
0,3,1,3,0.22,0.2121,0.93,0.2836,1,28,1/26/11 10:00,1/26/11
0,3,1,3,0.22,0.197,0.93,0.3284,1,41,1/26/11 11:00,1/26/11
0,3,1,3,0.22,0.197,0.93,0.3284,1,48,1/26/11 12:00,1/26/11
0,3,1,3,0.22,0.197,0.93,0.3284,1,47,1/26/11 13:00,1/26/11
